FName,LName,Gender,AreaCode,Phone,City,State,Zip,MaritalStatus,HasChild,Salary,Rate,SingleExemp,MarriedExemp,ChildExemp
Ruixin,Lunn,F,207,1008641,GEORGETOWN,ME,4548,M,N,8000,3.6368613,0,5700,0
Catuscia,Spinning,F,603,1008792,ROCHESTER,NH,3868,M,N,42500,0.0,0,0,0
Ngoc,Nevatia,F,434,1002096,CRITZ,VA,24082,M,N,65500,5.75,0,1800,0
Tomaso,Tautenhahn,M,603,1008943,KEENE,NH,3431,S,N,99500,0.0,0,0,0
Donald,Erez,F,318,1001672,GRANT,LA,70644,M,N,34500,6.0,0,9000,0
Lusheng,Guimaraes,F,504,1002391,SHREVEPORT,LA,71166,S,Y,54500,6.0,4500,0,1000
Adrienne,Weisman,M,631,1001655,CASSADAGA,NY,14718,S,Y,24000,4.092683,0,0,1000
Sivanarayana,Slonim,M,802,1007532,FERRISBURGH,VT,5456,S,Y,15500,3.6,3300,0,3300
Jasmina,Anger,M,651,1002267,CEYLON,MN,56121,M,N,45000,6.6568303,0,6600,0
Sajid,Legato,F,405,1005424,MARLAND,OK,74644,S,Y,27500,6.25,1000,0,1000
Kam,Bahnasawi,M,202,1005347,WASHINGTON,DC,20570,M,N,85500,9.0,0,2740,0
Shahrouz,Chuat,F,401,1012150,PAWTUCKET,RI,2862,S,Y,2000,0.0,0,0,0
Nobutaka,Nori,M,731,1001209,MARTIN,TN,38237,M,N,48500,0.0,0,0,0
Gernod,Orgass,F,207,1005128,NORTH ANSON,ME,4958,S,Y,11000,5.060219,2850,0,2850
Pum,Verhoosel,M,406,1018370,SUMATRA,MT,59083,S,Y,87500,6.9,1900,0,1900
Prabhu,Aagedal,M,432,1000568,CLEVELAND,TX,77327,S,Y,1500,0.0,0,0,0
Uptal,Yemenis,F,864,1003607,ADAMS RUN,SC,29426,M,N,73000,7.0,0,6600,0
Madhu,Paczkowski,M,918,1000311,WESTVILLE,OK,74965,S,Y,99000,6.25,1000,0,1000
Theodora,Wyckof,M,702,1001525,ALAMO,NV,89001,M,N,28500,0.0,0,0,0
Tetsuhiko,Bleistein,F,765,1001810,RUSHVILLE,IN,46173,M,N,13500,3.4,0,2000,0
Nipon,Isaacson,M,850,1001051,CLEARWATER,FL,33761,M,N,57500,0.0,0,0,0
Berni,Drenick,F,540,1001009,MARSHALL,VA,20116,S,Y,16000,5.4821424,900,0,900
Sosuke,Minas,F,863,1000145,TALLAHASSEE,FL,32316,M,N,42500,0.0,0,0,0
Aristide,Swoboda,F,304,1020538,HUNTINGTON,WV,25704,S,Y,73500,6.5,2000,0,2000
Ranga,Heeffer,F,402,1006537,SILVER CREEK,NE,68663,M,N,75000,6.84,0,206,0
Usko,Emery,F,856,1000726,WHARTON,NJ,7885,M,N,77000,2.2989376,0,2000,0
Havard,Bronstein,M,574,1001142,WINGATE,IN,47994,S,Y,93000,3.4,1000,0,1000
Teiji,Pohm,M,870,1000001,POWHATAN,AR,72458,S,Y,81000,7.0,20,0,20
Sigeru,McCann,F,802,1013624,VERSHIRE,VT,5079,S,Y,8000,3.6,3300,0,3300
Shigeichiro,Samtaney,M,620,1000099,HEPLER,KS,66746,S,Y,1000,3.5,2250,0,2250
Masadi,Gebele,F,603,1011386,SANBORNTON,NH,3269,M,N,9000,0.0,0,0,0
Ichiang,Luchangco,M,302,1017192,HARTLY,DE,19953,M,N,71500,5.95,0,220,0
Marianne,Banachowski,M,304,1010331,WHEELING,WV,26003,M,N,500,3.0,0,4000,0
Marlis,Miyaguchi,F,580,1000027,ARNETT,OK,73832,S,Y,58500,6.25,1000,0,1000
Kohichi,Lefas,M,605,1014972,FULTON,SD,57340,S,Y,8500,0.0,0,0,0
Ilagit,Roveri,F,787,1006836,SAN JUAN,PR,919,M,N,16000,0.0,0,0,0
Lakshmi,Hellinck,M,931,1001827,PLEASANT SHADE,TN,37145,M,N,33000,0.0,0,0,0
Naranker,Malama,M,978,1001879,BOSTON,MA,2206,S,Y,14000,5.3,3575,0,1000
Nga,Degimbe,M,330,1000858,DECATUR,OH,45115,S,Y,27500,1.4588847,1300,0,1300
Noam,Binkley,F,508,1000835,HOLLISTON,MA,1746,S,N,35500,5.3,3575,0,0
Kaninda,Betz,M,267,1000591,SHARON,PA,16146,S,Y,65000,3.07,0,0,0
Iannis,Waksman,M,208,1004116,KELLOGG,ID,83837,M,N,61000,7.8,0,6600,0
Prathima,Tullis,M,720,1005162,LEADVILLE,CO,80461,S,Y,46500,4.63,0,0,0
Nevio,Cavalieri,M,501,1005093,VILONIA,AR,72173,S,Y,6000,1.6217282,20,0,20
Jory,Krupka,M,774,1001881,CANTON,MA,2021,M,N,61000,5.3,0,7150,0
Dirk,Solovay,F,606,1000951,WAVERLY,KY,42462,M,N,27000,3.3333335,0,40,0
Ramo,Camps,F,913,1004702,BELOIT,KS,67420,S,Y,63000,6.45,2250,0,2250
Christipher,Thalhammer,M,641,1000377,WOOLSTOCK,IA,50599,S,Y,1500,0.39566132,40,0,40
Chengjiang,Regier,M,505,1002930,CANNON AFB,NM,88103,S,Y,18500,5.3,3300,0,3300
Thomas,Muhling,F,808,1001266,PAIA,HI,96779,S,Y,87000,8.25,1040,0,1040
Curd,Devlin,F,862,1000385,JERSEY CITY,NJ,7097,M,N,29000,1.5419375,0,2000,0
Tesuya,Lampert,F,208,1006745,TETONIA,ID,83452,M,N,36500,7.8,0,6600,0
Sydney,Pattabhiraman,F,202,1006455,WASHINGTON,DC,20573,S,Y,42000,9.0,1370,0,1370
Rom,Gerasch,M,785,1000458,ULYSSES,KS,67880,M,N,77500,6.45,0,4500,0
Mohamad,Schomaker,M,435,1000849,SALT LAKE CITY,UT,84115,S,Y,67500,7.0,2475,0,2475
Chinho,Stifter,F,212,1000093,STOCKTON,NY,14784,M,N,57500,4.286738,0,0,0
Siddarth,Elihai,M,307,1016534,COKEVILLE,WY,83114,S,Y,76500,0.0,0,0,0
Guanshan,Kantner,F,641,1004053,GUERNSEY,IA,52221,M,N,15500,2.556952,0,80,0
Hendra,Jockley,M,802,1006820,WHITE RIVER JUNCTION,VT,5001,S,Y,29000,3.6,3300,0,3300
Tinko,Pope,F,623,1003048,FORT APACHE,AZ,85926,S,Y,17500,2.98625,2100,0,2300
Ric,Simha,F,479,1000718,NORTH LITTLE ROCK,AR,72117,S,Y,37000,7.0,20,0,20
Yoji,Wirthlin,M,712,1001011,MELVIN,IA,51350,M,N,62500,8.98,0,80,0
Takafumi,Erev,M,907,1000728,PRUDHOE BAY,AK,99734,M,N,32000,0.0,0,0,0
Hendra,Toman,M,610,1001602,BLANDBURG,PA,16619,M,N,49000,3.07,0,0,0
Cindy,Lockwood,F,918,1000303,WISTER,OK,74966,M,N,51000,6.25,0,2000,0
Kemal,Prati,F,307,1003937,SUNDANCE,WY,82729,M,N,74500,0.0,0,0,0
Zuoquan,Shinagawa,F,401,1019539,ADAMSVILLE,RI,2801,S,Y,10500,0.0,0,0,0
Zurab,Herity,F,417,1000699,HIGH POINT,MO,65042,M,N,41000,6.0,0,4200,0
Rarrell,Brook,F,919,1002000,MOREHEAD CITY,NC,28557,M,N,80500,7.4213285,0,6600,0
Ingemar,Heywood,F,318,1000768,NEW ORLEANS,LA,70172,S,Y,80500,6.0,4500,0,1000
Jeong,Boi,M,580,1004406,MANNSVILLE,OK,73447,M,N,5000,3.0555556,0,2000,0
Xinhua,Kessler,F,319,1002674,DES MOINES,IA,50335,S,Y,22000,3.5604086,40,0,40
Ward,Bartscht,F,918,1005865,OKLAHOMA CITY,OK,73163,M,N,44500,6.25,0,2000,0
Xuhua,Worland,M,701,1017063,FAIRDALE,ND,58229,M,N,5000,2.1,0,6600,0
Radia,Wick,F,605,1018347,SIOUX FALLS,SD,57106,M,N,3500,0.0,0,0,0
Epaminondas,Vamvakos,F,864,1000577,CONVERSE,SC,29329,S,Y,94500,7.0,3300,0,3300
Wilson,Iwatani,F,605,1001666,BATESLAND,SD,57716,S,Y,70000,0.0,0,0,0
Kimikazu,Dimakopoulos,F,603,1013965,JEFFERSON,NH,3583,S,Y,7000,0.0,0,0,0
Schuyler,Mokkedem,F,860,1003344,WESTPORT,CT,6888,S,Y,51500,5.0,12750,0,0
Rowland,Ravid,F,801,1006694,SALT LAKE CITY,UT,84110,S,Y,84500,7.0,2475,0,2475
Pushpa,Leslie,M,678,1001343,ATLANTA,GA,30342,M,N,68500,6.0,0,5400,0
Vinko,Malfon,M,913,1004507,INDEPENDENCE,KS,67301,M,N,60000,6.45,0,4500,0
Aashu,Almasi,F,720,1001416,BOULDER,CO,80306,S,Y,92500,4.63,0,0,0
Seiichi,Chiprout,F,501,1000032,ETHEL,AR,72048,M,N,87000,7.0,0,40,0
Birol,Razaz,M,317,1000841,CAMBRIDGE CITY,IN,47327,S,Y,74500,3.4,1000,0,1000
Benton,Paradis,M,480,1001496,ARIVACA,AZ,85601,S,Y,14500,2.93975,2100,0,2300
Mir,Boxall,F,939,1008335,SAN JUAN,PR,923,M,N,75500,0.0,0,0,0
Umang,Rebaine,F,203,1007727,STAMFORD,CT,6901,M,N,94000,5.0,0,24500,0
Vinod,Sloman,F,775,1002478,HAWTHORNE,NV,89415,M,N,47500,0.0,0,0,0
Yunfei,Warnock,M,202,1013285,WASHINGTON,DC,20245,S,N,11000,4.725,1370,0,0
Juichirou,Greer,F,602,1000711,PHOENIX,AZ,85040,S,Y,7500,2.87,2100,0,2300
Predrag,Perrizo,F,202,1005659,WASHINGTON,DC,20062,M,N,100000,9.0,0,2740,0
Phillip,Pion,F,803,1004111,FLORENCE,SC,29505,M,N,500,2.5,0,6600,0
Yugo,Sobolewski,F,605,1000664,WESTPORT,SD,57481,S,Y,43000,0.0,0,0,0
Lubor,Ratuski,M,501,1005900,CAVE SPRINGS,AR,72718,S,Y,63500,7.0,20,0,20
Adriana,Gras,F,870,1000578,MIDWAY,AR,72651,S,Y,9000,2.3388312,20,0,20
Yongguang,Sciarra,F,512,1000214,EL PASO,TX,88563,M,N,9500,0.0,0,0,0
Yusuf,Lazell,M,973,1001895,POTTERSVILLE,NJ,7979,M,N,38000,1.683875,0,2000,0
Ehab,Regan,M,802,1008448,ESSEX JUNCTION,VT,5453,M,N,98000,4.954881,0,6600,0
Luba,Stickel,F,512,1000012,PORT NECHES,TX,77651,S,Y,40000,0.0,0,0,0
Estarose,Schalk,M,904,1001066,MIAMI,FL,33116,S,Y,41000,0.0,0,0,0
Mohamadou,Sakurai,M,562,1007844,SAN FRANCISCO,CA,94164,S,Y,72500,9.3,87,0,272
Hidekazu,Kees,M,802,1011326,RANDOLPH,VT,5060,M,N,52000,4.0396895,0,6600,0
Torleiv,Vitiello,M,401,1007565,BLOCK ISLAND,RI,2807,S,Y,32000,0.0,0,0,0
Tateaki,Gerstenkorn,F,828,1001661,HALLSBORO,NC,28442,M,N,28000,6.31993,0,6600,0
Brett,Bent,M,309,1000477,ATHENS,IL,62613,M,N,91500,3.0,0,4000,0
Shiqun,Wotawa,M,301,1002421,BERLIN,MD,21811,M,N,16000,4.75,0,4800,0
Zubair,Tripathy,M,603,1006187,EAST HAMPSTEAD,NH,3826,M,N,5000,0.0,0,0,0
Vangalur,Gaedke,M,574,1000019,STRAUGHN,IN,47387,M,N,74500,3.4,0,2000,0
Baoan,Silla,F,507,1002075,MONTICELLO,MN,55365,M,N,24000,5.5362325,0,6600,0
Janusz,Baez,F,802,1007369,GRANITEVILLE,VT,5654,M,N,32500,3.6517282,0,6600,0
Masaski,Gold,F,401,1020650,GREENVILLE,RI,2828,M,N,38500,0.0,0,0,0
Durga,Lakoumentas,F,303,1000736,CAMPO,CO,81029,S,Y,4000,4.63,0,0,0
Rusti,Flasterstein,F,603,1001308,ROCHESTER,NH,3868,S,Y,68000,0.0,0,0,0
Arra,Cherian,F,303,1001843,CASTLE ROCK,CO,80108,S,Y,86000,4.63,0,0,0
Viktoria,Maramtz,F,401,1020461,NORTH KINGSTOWN,RI,2852,S,Y,29000,0.0,0,0,0
Mikel,Bass,F,971,1005485,JAMIESON,OR,97909,S,Y,48500,9.0,159,0,159
Eliana,Hardjono,M,303,1003480,BEULAH,CO,81023,S,Y,89500,4.63,0,0,0
Joffroy,Rauf,F,513,1001729,CANTON,OH,44704,M,N,58000,2.4713283,0,2600,0
Ayman,Zaiane,M,812,1003565,CORUNNA,IN,46730,S,Y,26500,3.4,1000,0,1000
Santi,Messina,F,641,1002447,GREENFIELD,IA,50849,S,Y,90000,8.98,40,0,40
Haj,Dreux,M,719,1002989,CRESTED BUTTE,CO,81224,S,Y,24500,4.63,0,0,0
Kazumiti,Ivanets,F,302,1019720,WILMINGTON,DE,19897,M,N,85000,5.95,0,220,0
Gwang,Formella,F,601,1000448,WASHINGTON,MS,39190,M,N,56000,5.0,0,12000,0
Donglai,Tolly,F,406,1017908,DIVIDE,MT,59727,M,N,29500,6.9,0,3800,0
Yao,Rajala,M,559,1003255,MILPITAS,CA,95036,S,Y,54000,9.3,87,0,272
Kamil,Kuester,M,256,1004468,PELL CITY,AL,35125,M,N,42000,5.0,0,3000,0
Jaber,Raghavendran,F,505,1014256,MELROSE,NM,88124,S,Y,14000,4.614286,3300,0,3300
Driss,Ramnath,F,503,1002505,PLUSH,OR,97637,S,Y,23000,9.0,159,0,159
Leone,Lindenbaum,M,610,1001917,NEWTOWN,PA,18940,M,N,44000,3.07,0,0,0
Yasuyuki,Husband,F,719,1003011,LOUISVILLE,CO,80027,M,N,91000,4.63,0,0,0
Teruyuki,Ripplinger,F,319,1003940,FORT MADISON,IA,52627,S,Y,5500,1.013173,40,0,40
Yueli,Blus,M,562,1002833,REDWOOD CITY,CA,94061,M,N,76000,9.3,0,174,0
Vojislav,Carrere,F,302,1021475,NEW CASTLE,DE,19720,M,N,73000,5.95,0,220,0
Sangeeta,Shteto,M,715,1000680,FIFIELD,WI,54524,M,N,25500,4.8894696,0,1400,0
Jakub,Galand,M,970,1004458,COLORADO SPRINGS,CO,80970,M,N,60500,4.63,0,0,0
Ilia,Goktas,F,864,1003639,FLORENCE,SC,29502,S,Y,51000,7.0,3300,0,3300
Fermin,Cronau,F,808,1007063,KAHUKU,HI,96731,S,Y,29000,6.267105,1040,0,1040
Tryggve,Wodon,M,330,1000634,ZANESVILLE,OH,43702,S,Y,75500,3.0522385,1300,0,1300
Achille,Graaff,M,865,1000573,MEMPHIS,TN,38182,S,Y,10500,0.0,0,0,0
Elod,Verloop,M,505,1012416,COYOTE,NM,87012,M,N,97000,5.3,0,6600,0
Stella,Kobler,F,276,1001964,RICHMOND,VA,23219,S,Y,83000,5.75,900,0,900
Qinglan,Bertelrud,F,518,1000766,NEW YORK,NY,10249,S,Y,28000,4.115854,0,0,1000
Sungho,Olech,F,580,1005195,ELMER,OK,73539,S,Y,50000,6.25,1000,0,1000
Anargyros,Gilon,F,248,1000392,PALMYRA,MI,49268,M,N,31500,3.9,0,6200,0
Lukas,Kazakos,M,620,1004044,CONCORDIA,KS,66901,M,N,31000,6.45,0,4500,0
Jianlin,Bruck,F,862,1000091,WEEHAWKEN,NJ,7086,S,Y,76500,2.291052,1000,0,1500
Vencenzo,Erwig,M,386,1000832,TAMPA,FL,33686,S,Y,50000,0.0,0,0,0
Letizia,Stuckle,F,208,1014906,KIMBERLY,ID,83341,S,N,89000,7.8,3300,0,0
Nobuyoshi,Smotherman,M,605,1010649,DIMOCK,SD,57331,S,Y,50500,0.0,0,0,0
Hovav,Chuat,F,734,1000127,GRAYLING,MI,49739,S,Y,1500,3.9,3100,0,3100
Masanobu,Vecchi,F,913,1000231,NORWICH,KS,67118,S,Y,94000,6.45,2250,0,2250
Syozo,Mattison,F,262,1003029,MADISON,WI,53726,S,Y,37500,5.0979714,700,0,400
Galina,Voskamp,F,775,1005808,TUSCARORA,NV,89834,M,N,50500,0.0,0,0,0
Theresa,Shimazaki,M,541,1005331,SALEM,OR,97309,M,N,63000,9.0,0,318,0
Suneeta,Ramras,M,906,1000070,HOUGHTON,MI,49931,S,Y,8000,3.9,3100,0,3100
Shigeu,Milor,M,407,1001170,MIAMI,FL,33243,S,Y,19000,0.0,0,0,0
Guru,Hedger,M,207,1014096,ISLE OF SPRINGS,ME,4549,S,Y,64500,8.5,2850,0,2850
Adly,McCrosky,F,208,1016721,LAVA HOT SPRINGS,ID,83246,M,N,63000,7.8,0,6600,0
Devina,Zrehen,F,646,1000812,BALDWIN,NY,11510,S,Y,75500,4.391006,0,0,1000
Azuma,McJones,F,501,1005963,STAR CITY,AR,71667,S,Y,42000,7.0,20,0,20
Taewoong,Double,F,786,1000025,FORT LAUDERDALE,FL,33331,S,Y,69000,0.0,0,0,0
Alle,Amendola,M,225,1002360,EFFIE,LA,71331,S,Y,5500,2.0,4500,0,1000
Abderrahim,Bidwell,M,505,1006103,BOSQUE,NM,87006,S,Y,60500,5.3,3300,0,3300
Takuyu,Whitley,F,802,1010213,BURLINGTON,VT,5401,S,Y,29000,3.6,3300,0,3300
Mikey,Pedicini,M,406,1010276,BILLINGS,MT,59112,S,Y,65500,6.9,1900,0,1900
Michelangelo,Edman,M,870,1002814,BLYTHEVILLE,AR,72315,M,N,89000,7.0,0,40,0
Gregoire,Beierle,F,601,1000181,POPLARVILLE,MS,39470,S,N,31500,5.0,6000,0,0
Shuzo,Keen,F,701,1005223,CHURCHS FERRY,ND,58325,M,N,43500,2.259973,0,6600,0
Lubor,Ratuski,M,763,1002112,FREEPORT,MN,56331,M,N,79500,7.85,0,6600,0
Saimond,Staff,M,505,1008572,CONCHAS DAM,NM,88416,M,N,38500,5.3,0,6600,0
Durga,Lakoumentas,F,769,1001261,GREENVILLE,MS,38702,M,N,46500,5.0,0,12000,0
Enid,Kabir,M,864,1005752,ELKO,SC,29826,M,N,11000,6.190175,0,6600,0
Ishai,Hanani,M,918,1000626,FAIRFAX,OK,74637,S,Y,63500,6.25,1000,0,1000
Wafa,Botsch,F,802,1016251,IRASBURG,VT,5845,M,N,56000,4.1192713,0,6600,0
Arco,Perrott,M,307,1013662,FORT WASHAKIE,WY,82514,S,Y,9500,0.0,0,0,0
Miryam,Igata,M,405,1000016,ARDMORE,OK,73403,S,Y,92500,6.25,1000,0,1000
Takafumi,Klerer,M,919,1000789,MAGGIE VALLEY,NC,28751,M,N,81000,7.431818,0,6600,0
Katharine,Solchenbach,F,413,1000762,BOSTON,MA,2127,M,N,97500,5.3,0,7150,0
Arch,Halverson,F,719,1003962,PUEBLO,CO,81008,S,Y,28000,4.63,0,0,0
Guoren,Muluszynski,M,517,1001710,LUZERNE,MI,48636,M,N,80000,3.9,0,6200,0
Shenze,Henser,F,808,1013888,ANAHOLA,HI,96703,M,N,20500,4.734868,0,2080,0
Guadalupe,Ilie,M,505,1013723,ANGEL FIRE,NM,87710,M,N,93500,5.3,0,6600,0
Radek,Kikuchi,M,615,1000512,DANDRIDGE,TN,37725,M,Y,25000,0.0,0,0,0
Sharada,Dybjer,M,573,1002070,BELTON,MO,64012,M,N,63500,6.0,0,4200,0
Pier,Clack,M,702,1005812,EUREKA,NV,89316,M,N,25000,0.0,0,0,0
Cindy,Lockwood,F,479,1005872,NORTH LITTLE ROCK,AR,72198,M,N,65500,7.0,0,40,0
Lea,Canepa,F,660,1002681,LOOSE CREEK,MO,65054,M,N,21000,6.0,0,4200,0
Vishal,Fendler,F,347,1000331,NEW YORK,NY,10174,S,Y,27000,4.110061,0,0,1000
Guangwei,Schmerr,F,406,1018101,RAMSAY,MT,59748,M,N,89000,6.9,0,3800,0
Cholwich,Welham,F,864,1005435,MYRTLE BEACH,SC,29579,M,N,85000,7.0,0,6600,0
Cormac,Brazell,M,808,1006468,MOUNTAIN VIEW,HI,96771,S,Y,76000,8.25,1040,0,1040
Daishi,Dashofy,M,812,1002405,CICERO,IN,46034,M,N,32500,3.4,0,2000,0
Sailaja,McMahon,F,712,1001666,GALT,IA,50101,M,N,4500,0.85879505,0,80,0
Venkat,Itajima,M,907,1009746,JUNEAU,AK,99812,M,N,52000,0.0,0,0,0
Thad,Rappoport,M,918,1004795,MANNFORD,OK,74044,M,N,24500,6.25,0,2000,0
Pozung,McAdam,M,801,1000009,PINE VALLEY,UT,84781,S,N,6500,7.0,2475,0,0
Masakazu,Baowen,F,302,1014431,WILMINGTON,DE,19899,M,N,88000,5.95,0,220,0
Jorge,Schick,F,661,1000423,WATSONVILLE,CA,95077,M,N,29000,6.3544655,0,174,0
Harrie,Lebel,F,208,1004563,KELLOGG,ID,83837,M,N,37500,7.8,0,6600,0
Bani,Arentze,M,828,1001388,PROVIDENCE,NC,27315,M,N,44500,6.666084,0,6600,0
Meir,Daws,M,862,1001051,PARLIN,NJ,8859,M,N,15500,1.4,0,2000,0
Kimiko,Gusat,M,773,1001484,CARBONDALE,IL,62903,S,N,50000,3.0,2000,0,0
Malcolm,Blix,M,301,1002895,BALTIMORE,MD,21280,S,Y,88000,4.75,2400,0,2400
Hyoseob,Bercovich,F,561,1000182,JACKSONVILLE BEACH,FL,32240,S,Y,91500,0.0,0,0,0
Telle,Thombley,M,939,1007235,CULEBRA,PR,775,M,N,23500,0.0,0,0,0
Gyora,Snedden,M,702,1006141,CARSON CITY,NV,89712,S,Y,80500,0.0,0,0,0
Edda,Morihara,M,208,1014300,NAMPA,ID,83651,M,N,80500,7.8,0,6600,0
Zahari,Mukerji,M,908,1001117,WEST ORANGE,NJ,7052,M,N,49000,1.8573542,0,2000,0
Subhash,Katzberg,M,931,1001708,MEMPHIS,TN,38188,M,N,37000,0.0,0,0,0
Avijit,Collavizza,F,563,1000599,LEON,IA,50144,S,Y,94000,8.98,40,0,40
Bharath,Iseli,M,206,1001044,WOODINVILLE,WA,98077,S,Y,76000,0.0,0,0,0
Gianluigi,Reif,F,505,1010077,RINCON,NM,87940,M,N,38500,5.3,0,6600,0
Yoji,Wirthlin,M,423,1002070,SUGAR TREE,TN,38380,S,Y,14500,0.0,0,0,0
Candace,Benkahla,F,435,1000358,MONTICELLO,UT,84535,M,N,20000,7.0,0,4950,0
Janathan,Anguita,M,939,1000617,ARECIBO,PR,612,M,N,1000,0.0,0,0,0
Willy,Herger,M,208,1012017,KIMBERLY,ID,83341,M,N,63500,7.8,0,6600,0
Henrietta,Nicolson,F,702,1010660,GOLCONDA,NV,89414,S,Y,22000,0.0,0,0,0
Pankaj,Lieberherr,M,907,1008817,STERLING,AK,99672,S,Y,64500,0.0,0,0,0
Mattijs,Hauswirth,M,781,1000914,SOUTHBRIDGE,MA,1550,M,N,50500,5.3,0,7150,0
Noah,Ebeling,F,505,1002023,ALBUQUERQUE,NM,87108,S,Y,46500,5.3,3300,0,3300
Balaji,Grigsby,F,270,1001519,LEXINGTON,KY,40513,M,N,73500,5.916667,0,40,0
Lundy,Habib,F,620,1003540,WICHITA,KS,67213,S,Y,63500,6.45,2250,0,2250
Raja,Panadiwal,F,240,1004239,SAINT JAMES,MD,21781,M,N,26000,4.75,0,4800,0
Matthew,Rouquie,M,812,1003200,ANDREWS,IN,46702,M,N,28000,3.4,0,2000,0
Hyoseob,Zaimov,F,505,1003218,ALBUQUERQUE,NM,87119,M,N,9000,2.9,0,6600,0
Shalom,Setia,F,207,1005749,FREEPORT,ME,4034,M,Y,27500,8.5,0,5700,2850
Zhengyou,Caron,F,507,1002310,DULUTH,MN,55816,M,N,33000,6.0164886,0,6600,0
Nagui,Serconek,M,304,1006606,WILLIAMSTOWN,WV,26187,M,N,47500,5.625,0,4000,0
Narasimha,Wesselkamper,F,605,1003475,GEDDES,SD,57342,S,Y,78500,0.0,0,0,0
Patrizia,Halker,F,305,1000857,BARBERVILLE,FL,32105,S,Y,98500,0.0,0,0,0
Elenora,McGee,F,208,1005382,CALDWELL,ID,83606,S,Y,100000,7.8,3300,0,3300
Cui,Klosowski,M,720,1002020,GILCREST,CO,80623,S,Y,63000,4.63,0,0,0
Homer,Blaine,F,202,1008769,WASHINGTON,DC,20415,S,Y,17000,6.075,1370,0,1370
Nirmal,Bra,M,413,1000839,SPRINGFIELD,MA,1107,S,Y,90000,5.3,3575,0,1000
Chandrajit,Reistad,M,260,1001581,COAL CITY,IN,47427,M,N,89000,3.4,0,2000,0
Yakichi,Pirogowa,M,502,1003060,ALEXANDRIA,KY,41001,S,Y,86500,6.0,20,0,20
Santos,Trevathan,M,501,1003701,SAINT FRANCIS,AR,72464,S,Y,63000,7.0,20,0,20
Rishi,Mikulecky,F,202,1001618,WASHINGTON,DC,20266,S,Y,59500,9.0,1370,0,1370
Tinghuai,Rahimi,M,302,1007238,SAINT GEORGES,DE,19733,M,N,35500,4.2795453,0,220,0
Zeydy,Protzen,F,808,1011474,HONOLULU,HI,96837,M,N,40000,8.25,0,2080,0
Kaihiro,Gascon,F,918,1004853,STROUD,OK,74079,S,Y,52500,6.25,1000,0,1000
Qujun,Thompson,F,803,1000917,CHARLESTON,SC,29412,S,Y,67500,7.0,3300,0,3300
